"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"E5TMPFP2","journalArticle","2018","Cheang, Chelsea J.Y.; Goh, Esther C. L.","Why some children from poor families do well—an in-depth analysis of positive deviance cases in Singapore","International Journal of Qualitative Studies on Health and Well-being","","1748-2631","10.1080/17482631.2018.1563431","https://www.tandfonline.com/doi/full/10.1080/17482631.2018.1563431","Purpose: Research documents that children from low-income families face higher risks in many areas of their development including academic performance. However, some children from low-income homes excel academically despite their disadvantaged environment. Method: Using Positive Deviance methodology (PD), audio-diary and interview data were collected from ten children who scored at least 70 percentile in school examinations in spite of their financial deprivation. Results: This paper uncovers specific dimensions of agency in these children that stemmed from the relational contexts they had with their mothers. Combining the PD methodology and sensitizing lens from Social Relational Theory, this study provided evidence that PD children are connected agents within their family. It suggests that children's awareness of their family circumstances motivated them to work hard and enabled them to devise creative ways to manage their limited financial resources. Conclusions: The findings challenge dominant discourses on poor children as passive victims and suggest new ways for practitioners to examine the relationship contexts that support children's capacity as agents rather than focusing on individual traits.","2018-06-04","2025-03-05 16:09:49","2025-03-05 16:11:00","2025-03-05 16:09:49","1563431","","sup1","13","","International Journal of Qualitative Studies on Health and Well-being","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gauth\Zotero\storage\XFK6M9TR\Cheang and Goh - 2018 - Why some children from poor families do well—an in-depth analysis of positive deviance cases in Sing.pdf","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWU6E52E","journalArticle","2020","Chiong, Charleen","‘Teachers know best’: low-income families and the politics of home–school relations in Singapore","Families, Relationships and Societies","","2046-7435, 2046-7443","10.1332/204674319X15707082505112","https://bristoluniversitypressdigital.com/view/journals/frs/9/1/article-p23.xml","Much Anglo-American and European literature describes relations between low-income groups and public sector institutions as characterised by disenfranchisement and distance – particularly within critiques of neoliberal policies and imaginaries. This article draws on in-depth interviews with 12 low-income families to explore why there are unexpectedly close home–school relations in Singapore. Three reasons grounded in families’ perceptions of the state and school are elucidated: (1) competence – of the Singapore state and its teachers in preparing children for success; (2) care – of the state and teachers towards children’s wellbeing; and (3) communication – frequent dialogue resulting in collaborative childrearing approaches between home and school. However, while these can contribute to close, collaborative home–school relations, the wider politics and power dynamics of these relations – as well as their effects on families’ lives – is worth further unpacking.","2020-03","2025-03-05 16:10:16","2025-03-05 16:11:18","2025-03-05 16:10:16","23-40","","1","9","","","‘Teachers know best’","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gauth\Zotero\storage\LRJJAVL3\Chiong - 2020 - ‘Teachers know best’ low-income families and the politics of home–school relations in Singapore.pdf","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MVTWZMQC","journalArticle","2014","Ng, Irene Y.H.","Education and intergenerational mobility in Singapore","Educational Review","","0013-1911, 1465-3397","10.1080/00131911.2013.780008","http://www.tandfonline.com/doi/abs/10.1080/00131911.2013.780008","","2014-07-03","2025-03-05 16:10:17","2025-03-05 16:11:36","2025-03-05 16:10:17","362-376","","3","66","","Educational Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gauth\Zotero\storage\SXWE8EBZ\Ng - 2014 - Education and intergenerational mobility in Singapore.pdf","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRFXRR9I","journalArticle","2022","Wen, Daniel; Goh, Esther C. L.; Hsu, Chin‐ying","Hope in <span style=""font-variant:small-caps;"">Low‐Income</span> Families—A Study of Family Hardiness in Singapore","Family Relations","","0197-6664, 1741-3729","10.1111/fare.12581","https://onlinelibrary.wiley.com/doi/10.1111/fare.12581","Objective: To investigate whether family hardiness mediates the relationship between economic hardship and hope of mothers and children from low-income families. Background: Economic hardship has been found to be associated with lower hope in adults. The ABC-X model suggests that the resources available could be a mediator of this relationship. However, there is a lack of studies investigating family-level hardiness as a potential mediator of this relationship in low-income families. Method: Mother–child dyads (N = 512) from low-income families in Singapore were surveyed. Simple mediation was conducted to investigate family hardiness as a mediator between economic hardship and hope of mothers and children. Significant simple mediation results were followed up with parallel mediation, with family commitment, challenge, and control as mediators. Results: Family challenge accounted for the mediation effect in mothers, whereas global family hardiness accounted for the mediation effect observed in children. Conclusion: The inability of low-income families to adapt and reorganize their family system in response to their economic situation","2022-04","2025-03-05 16:10:19","2025-03-05 16:11:51","2025-03-05 16:10:19","513-525","","2","71","","Family Relations","Hope in <span style=""font-variant","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gauth\Zotero\storage\ED4UCYW7\Wen et al. - 2022 - Hope in Low‐Income Families—A Study of Family Hardines.pdf","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5J6XGM9U","journalArticle","2023","Ng, Irene Y. H.; Khoo, Joshua; Ng, Nicole","Growing up poor(ly): intergenerational class-based parenting logic in Singapore","Journal of Family Studies","","1322-9400, 1839-3543","10.1080/13229400.2021.1977165","https://www.tandfonline.com/doi/full/10.1080/13229400.2021.1977165","Class-based parenting logic transcends national culture. This is what we found when applying Laureau’s (2011. Unequal childhoods: Class, race, and family life with an update a decade later (2nd ed.). University of California Press) schema of concerted cultivation for middle/higher class families and accomplishment of natural growth for working-class families to young parents in Singapore. Through in-depth interviews with 10 low-SES parents and eight high-SES parents between the ages of 27 and 37, we found Laureau’s distinctions evident even in this young Asian country where the middle class has only recently emerged. Interviewing young adults at a stage in life when they were forming their parenting ideals, the intergenerational transmission of logics was apparent. So were constraints of work and earnings in shaping the intergenerational logics. The ﬁndings suggest that improving outcomes of low-SES children requires going beyond parenting programmes to tackling structures in society that harden class lines, e.g. education and work systems.","2023-03-04","2025-03-05 16:10:20","2025-03-05 16:11:42","2025-03-05 16:10:20","702-718","","2","29","","Journal of Family Studies","Growing up poor(ly)","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gauth\Zotero\storage\ZCVCWUZE\Ng et al. - 2023 - Growing up poor(ly) intergenerational class-based parenting logic in Singapore.pdf","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERUND9CQ","journalArticle","2016","Lee, Millie; Morris, Paul","Lifelong learning, income inequality and social mobility in Singapore","International Journal of Lifelong Education","","0260-1370, 1464-519X","10.1080/02601370.2016.1165747","https://www.tandfonline.com/doi/full/10.1080/02601370.2016.1165747","Singapore has been assigned the role of a‘model’nation state primarily for two reasons: its rapid rate of economic growth and its outstanding performance on cross-national tests of educational achievement, such as PISA. This has resulted in advocates of reform citing it as illustrating ‘best practices’, especially in the field of education, and it has more generally been viewed as demonstrating the benefits of economic globalization. This paper analyses from a comparative perspective the more problematic and relatively unexplored third dimension of being a model‘global’nation, namely its impact on income inequality and the quality of citizens’ life. We focus on the role of the system of lifelong learning which was designed generally to upgrade the skills of the workforce and specifically to provide low-paid/skilled workers with opportunities to improve incomes and enhance their socioeconomic mobility. We demonstrate that despite the remarkable economic growth at a national level and the significant expansion of lifelong learning provision, productivity rates have not improved, income inequality has increased, social mobility has declined and the ‘quality of life’ is, in comparative terms, poor.","2016-05-03","2025-03-05 16:10:21","2025-03-05 16:11:59","2025-03-05 16:10:21","286-312","","3","35","","International Journal of Lifelong Education","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gauth\Zotero\storage\EHW9Q95A\Lee and Morris - 2016 - Lifelong learning, income inequality and social mobility in Singapore.pdf","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFQ5TE56","journalArticle","2020","Chiong, Charleen","State-School-Family Relations in Singapore: Perspectives of Low-Income Families","","","","","","","2020","2025-03-05 16:10:22","2025-03-05 16:12:07","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\gauth\Zotero\storage\FEQAQPKQ\Chiong - 2020 - State-School-Family Relations in Singapore Perspectives of Low-Income Families.pdf","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBHUC8UW","webpage","","","This is what inequality looks like, Teo, Youyenn | National Library Board Singapore","","","","","https://catalogue.nlb.gov.sg/search/card?recordId=203024529","","","2026-05-30 09:26:37","2026-05-30 09:26:37","2026-05-30 09:26:37","","","","","","","","","","","","","","","","","","","","","","","C:\Users\gauth\Zotero\storage\XQ7PEPZX\card.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGAMLG55","journalArticle","","Kong, Lily","Time to rethink higher education in Singapore and set our own agenda","","","","","","","","2026-05-30 09:28:09","2026-05-30 09:28:09","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\gauth\Zotero\storage\9ZP27VJ8\Kong - Time to rethink higher education in Singapore and set our own agenda.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBSJ6BDP","journalArticle","","Basillote, Lovelaine; Gradus, Yogev; Lamb, Jeffrey; Sharoni, Tomer; Thng, Michael","Singapore’s Higher Education Cluster","","","","","","","","2026-05-30 09:40:39","2026-05-30 09:40:39","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\gauth\Zotero\storage\6FBCETZB\Basillote et al. - Singapore’s Higher Education Cluster.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
